Student_ID,Age,Gender,Overall_Performance_Percentage,Homework_Completion,Family_Income,Distance_to_School_km,Health_Issues,Bullying_Experience,Teacher_Feedback,Fees_Status,Sibling_Count,Dropout_Status
S00048,12,Male,71,84,Medium,15.9,Yes,Yes,Average,Overdue (3+ Months),4,Dropout
S00049,12,Female,41,44,High,9.5,No,No,Poor,Unpaid,2,Dropout
S00050,14,Male,79,45,High,13.3,No,No,Poor,Overdue (3+ Months),5,Dropout
S00051,17,Male,92,42,Medium,12.8,Yes,Yes,Good,Paid,4,Dropout
S00052,12,Male,54,31,High,8.7,Yes,Yes,Average,Unpaid,5,Dropout
S00053,13,Male,38,22,Low,13.5,Yes,Yes,Average,Paid,4,Dropout
S00054,16,Male,54,53,Low,12.3,Yes,No,Good,Paid,3,Not Dropout
S00055,14,Male,33,69,Medium,12.1,Yes,Yes,Average,Unpaid,2,Dropout
S00056,16,Male,63,95,High,13.4,No,Yes,Good,Paid,2,Not Dropout
S00057,15,Female,38,72,High,18.8,Yes,No,Good,Paid,3,Not Dropout
S00058,14,Male,76,61,High,7.6,Yes,Yes,Average,Paid,5,Not Dropout
S00059,15,Female,35,61,Low,1.8,No,No,Average,Paid,0,Not Dropout
S00060,12,Female,79,41,High,16.6,No,Yes,Good,Paid,4,Not Dropout
S00061,15,Female,48,33,Low,9.0,No,No,Average,Unpaid,4,Dropout
S00062,14,Male,31,56,High,17.9,Yes,No,Good,Overdue (3+ Months),1,Not Dropout
S00063,16,Female,48,56,Medium,5.9,No,Yes,Average,Paid,3,Not Dropout
S00064,17,Female,53,36,Medium,14.8,Yes,No,Poor,Paid,0,Not Dropout
S00065,14,Male,80,100,Low,3.8,Yes,Yes,Good,Paid,1,Not Dropout
S00066,14,Male,36,61,High,5.4,Yes,Yes,Average,Paid,4,Dropout
S00067,13,Female,64,48,Medium,2.1,No,Yes,Poor,Paid,4,Dropout
S00068,18,Female,40,96,Low,12.3,Yes,Yes,Average,Paid,3,Dropout
S00069,18,Female,47,99,Low,16.0,Yes,Yes,Average,Paid,4,Dropout
S00070,18,Female,89,80,Medium,1.9,No,Yes,Good,Paid,0,Not Dropout
S00071,11,Male,40,37,High,16.3,No,No,Average,Paid,3,Not Dropout
S00072,16,Female,75,80,Low,4.5,Yes,No,Average,Paid,4,Not Dropout
S00073,17,Male,81,35,Low,8.8,No,Yes,Average,Unpaid,2,Dropout
S00074,18,Male,67,34,Low,10.0,Yes,Yes,Good,Overdue (3+ Months),1,Dropout
S00075,12,Female,64,70,Medium,17.6,Yes,No,Good,Paid,4,Not Dropout
S00076,18,Male,37,66,High,8.7,No,No,Average,Overdue (3+ Months),3,Not Dropout
S00077,12,Male,54,44,Low,1.6,Yes,No,Average,Paid,4,Dropout
S00078,18,Female,45,93,High,14.7,No,Yes,Good,Paid,5,Not Dropout
S00079,17,Male,59,30,Medium,16.8,Yes,Yes,Average,Overdue (3+ Months),0,Dropout
S00080,12,Male,97,21,Low,9.4,No,No,Poor,Paid,4,Dropout
S00081,18,Female,42,74,Medium,11.1,Yes,No,Average,Overdue (3+ Months),0,Not Dropout
S00082,12,Female,95,40,Low,16.9,No,Yes,Average,Paid,0,Not Dropout
S00083,16,Female,69,30,High,13.6,Yes,No,Poor,Paid,2,Not Dropout
S00084,14,Male,42,89,Medium,11.3,Yes,Yes,Good,Paid,1,Not Dropout
S00085,16,Female,43,75,Medium,8.8,Yes,Yes,Good,Paid,1,Not Dropout
S00086,18,Female,79,65,Low,12.5,Yes,No,Good,Paid,0,Not Dropout
S00087,17,Female,51,51,Medium,8.5,No,Yes,Average,Paid,3,Not Dropout
S00088,13,Male,92,32,High,15.2,No,No,Average,Paid,5,Not Dropout
S00089,16,Male,60,57,High,5.7,Yes,Yes,Poor,Paid,3,Not Dropout
S00090,15,Male,49,23,Low,3.3,No,Yes,Average,Overdue (3+ Months),1,Dropout
S00091,16,Female,91,86,High,8.8,No,Yes,Good,Paid,0,Not Dropout
S00092,16,Male,86,30,High,3.6,No,Yes,Good,Unpaid,1,Not Dropout
S00093,16,Female,36,61,Medium,7.1,Yes,No,Average,Paid,0,Not Dropout
S00094,12,Female,31,43,Medium,2.7,No,Yes,Good,Paid,3,Not Dropout
S00095,11,Female,87,38,Medium,2.7,No,Yes,Average,Paid,1,Not Dropout
S00096,13,Male,78,95,Low,11.0,Yes,Yes,Good,Paid,4,Dropout
S00097,18,Female,97,45,Low,16.9,No,No,Average,Paid,2,Not Dropout
S00098,16,Male,33,21,Medium,9.4,No,Yes,Good,Overdue (3+ Months),5,Dropout
S00099,18,Female,67,64,Medium,9.2,Yes,Yes,Good,Paid,3,Not Dropout
S00100,16,Female,44,47,Medium,4.3,No,No,Poor,Unpaid,0,Dropout
S00101,18,Male,43,92,High,16.0,Yes,No,Average,Paid,2,Not Dropout
S00102,16,Male,63,63,High,2.8,Yes,Yes,Poor,Paid,0,Not Dropout
S00103,17,Male,87,97,High,0.6,Yes,No,Average,Paid,3,Not Dropout
S00104,13,Female,72,40,High,5.2,Yes,No,Average,Overdue (3+ Months),1,Not Dropout
S00105,17,Male,94,89,Low,17.7,Yes,No,Good,Paid,3,Not Dropout
S00106,18,Female,42,93,Low,4.7,Yes,No,Average,Overdue (3+ Months),5,Dropout
S00107,14,Male,33,41,High,1.6,Yes,No,Average,Unpaid,5,Dropout
S00108,15,Male,47,85,Medium,8.0,No,Yes,Average,Unpaid,0,Not Dropout
S00109,16,Female,88,68,Low,14.1,No,No,Average,Paid,2,Not Dropout
S00110,15,Male,84,79,Medium,1.7,No,Yes,Good,Paid,0,Not Dropout
S00111,18,Male,66,52,Medium,16.5,No,No,Poor,Unpaid,3,Not Dropout
S00112,18,Female,82,47,High,2.2,No,Yes,Good,Paid,0,Not Dropout
S00113,13,Male,95,32,Medium,1.1,Yes,No,Average,Paid,3,Not Dropout
S00114,18,Female,61,42,Medium,1.8,No,No,Average,Overdue (3+ Months),5,Not Dropout
S00115,15,Female,35,80,High,19.2,Yes,Yes,Average,Paid,3,Not Dropout
S00116,17,Male,79,63,Low,11.2,Yes,Yes,Poor,Unpaid,1,Dropout
S00117,14,Female,91,27,Low,16.1,Yes,Yes,Average,Overdue (3+ Months),2,Dropout
S00118,11,Male,80,97,Medium,19.9,Yes,Yes,Average,Paid,4,Not Dropout
S00119,14,Female,92,84,Medium,16.0,Yes,No,Good,Paid,1,Not Dropout
S00120,13,Female,43,72,Medium,2.2,No,No,Average,Overdue (3+ Months),2,Not Dropout
S00121,11,Female,80,53,Low,0.9,No,Yes,Poor,Paid,1,Not Dropout
S00122,18,Male,73,62,Low,15.3,Yes,No,Good,Paid,4,Not Dropout
S00123,16,Male,43,36,High,8.8,No,No,Good,Paid,2,Not Dropout
S00124,17,Female,50,84,Medium,1.4,Yes,No,Good,Paid,1,Not Dropout
S00125,11,Female,44,65,Medium,9.8,Yes,No,Good,Paid,0,Not Dropout
S00126,17,Male,94,61,Medium,14.8,No,Yes,Good,Unpaid,1,Not Dropout
S00127,16,Male,34,74,Low,8.9,Yes,Yes,Average,Paid,3,Dropout
S00128,17,Female,80,25,Medium,11.6,No,No,Good,Paid,3,Not Dropout
S00129,14,Female,66,86,Low,17.2,Yes,Yes,Average,Overdue (3+ Months),2,Dropout
S00130,11,Male,57,98,Medium,11.2,Yes,No,Average,Paid,4,Not Dropout
S00131,12,Female,66,43,High,9.3,No,Yes,Average,Paid,2,Not Dropout
S00132,14,Male,79,32,Low,0.9,No,Yes,Good,Unpaid,1,Dropout
S00133,17,Female,57,67,High,2.0,Yes,Yes,Good,Paid,0,Not Dropout
S00134,16,Male,46,97,High,14.1,Yes,No,Average,Unpaid,0,Not Dropout
S00135,15,Female,69,45,High,14.6,Yes,Yes,Good,Paid,5,Dropout
S00136,14,Female,31,26,Medium,15.6,Yes,Yes,Poor,Paid,0,Dropout
S00137,11,Male,78,27,Medium,2.4,Yes,Yes,Poor,Overdue (3+ Months),0,Dropout
S00138,17,Female,58,36,High,14.2,No,No,Good,Paid,1,Not Dropout
S00139,11,Female,48,99,High,7.6,Yes,No,Good,Paid,4,Not Dropout
S00140,15,Male,69,63,Low,11.6,Yes,Yes,Poor,Paid,4,Dropout
S00141,14,Female,35,95,Low,6.4,Yes,Yes,Average,Paid,5,Dropout
S00142,11,Male,97,62,Medium,19.4,Yes,No,Average,Unpaid,3,Not Dropout
S00143,16,Male,51,37,Medium,10.7,No,No,Average,Paid,5,Not Dropout
S00144,11,Female,87,71,High,6.8,No,Yes,Good,Unpaid,0,Not Dropout
S00145,14,Female,52,91,Medium,19.9,No,Yes,Good,Paid,4,Not Dropout
S00146,17,Female,81,74,Medium,9.6,No,No,Good,Paid,5,Not Dropout
S00147,11,Male,62,61,High,1.4,Yes,No,Average,Overdue (3+ Months),4,Not Dropout
S00148,13,Male,98,94,Medium,2.9,Yes,No,Poor,Paid,0,Not Dropout
S00149,17,Female,61,23,Low,13.2,Yes,Yes,Poor,Paid,5,Dropout
S00150,16,Male,46,53,Medium,14.2,No,Yes,Good,Unpaid,5,Not Dropout
S00151,14,Female,79,52,Low,5.6,No,No,Average,Paid,2,Not Dropout
S00152,15,Male,66,74,Medium,15.4,Yes,Yes,Average,Overdue (3+ Months),2,Not Dropout
S00153,15,Female,31,61,Low,14.0,No,No,Average,Paid,2,Not Dropout
S00154,13,Male,47,86,High,2.8,Yes,No,Good,Paid,0,Not Dropout
S00155,11,Male,43,87,Low,9.3,Yes,No,Average,Overdue (3+ Months),4,Dropout
S00156,12,Male,72,66,Low,2.2,Yes,No,Average,Overdue (3+ Months),1,Not Dropout
S00157,17,Female,33,94,Medium,6.4,Yes,No,Good,Paid,5,Not Dropout
S00158,16,Female,34,24,Low,3.3,No,Yes,Good,Paid,2,Dropout
S00159,11,Female,33,70,High,14.5,No,No,Average,Unpaid,1,Not Dropout
S00160,12,Female,35,63,High,4.2,No,No,Good,Overdue (3+ Months),1,Not Dropout
S00161,17,Female,78,86,High,3.2,Yes,Yes,Average,Paid,5,Not Dropout
S00162,17,Female,52,70,Medium,3.7,No,Yes,Average,Unpaid,3,Not Dropout
S00163,16,Male,93,55,Medium,16.5,No,No,Good,Paid,5,Not Dropout
S00164,13,Female,91,82,High,15.9,Yes,No,Good,Paid,3,Not Dropout
S00165,16,Female,35,77,Medium,17.3,Yes,No,Good,Paid,3,Not Dropout
S00166,11,Male,89,21,Medium,18.3,No,No,Good,Paid,3,Not Dropout
S00167,14,Male,65,61,Medium,10.7,No,No,Average,Unpaid,4,Not Dropout
S00168,12,Male,55,60,High,15.8,No,Yes,Average,Paid,0,Not Dropout
S00169,16,Female,51,64,Low,16.9,No,No,Average,Paid,0,Not Dropout
S00170,15,Female,55,100,High,13.4,Yes,Yes,Average,Paid,5,Not Dropout
S00171,14,Male,61,90,Low,7.1,No,Yes,Good,Paid,4,Not Dropout
S00172,12,Female,63,84,Medium,15.2,No,No,Good,Paid,1,Not Dropout
S00173,14,Male,55,92,Low,4.9,No,Yes,Poor,Paid,1,Not Dropout
S00174,12,Female,73,31,Low,8.2,No,Yes,Average,Paid,5,Dropout
S00175,18,Male,36,34,Medium,14.5,Yes,No,Poor,Paid,2,Dropout
S00176,12,Male,40,59,High,15.9,Yes,Yes,Average,Unpaid,0,Dropout
S00177,13,Male,69,68,High,11.4,Yes,No,Average,Paid,3,Not Dropout
S00178,16,Female,52,46,Low,17.2,Yes,Yes,Average,Paid,5,Dropout
S00179,15,Female,79,69,High,14.7,Yes,No,Good,Unpaid,3,Not Dropout
S00180,14,Male,76,66,Low,6.5,Yes,Yes,Average,Paid,2,Not Dropout
S00181,16,Female,74,68,Low,6.0,Yes,Yes,Good,Paid,0,Not Dropout
S00182,12,Male,92,55,High,14.6,Yes,No,Poor,Unpaid,2,Not Dropout
S00183,18,Male,65,77,Medium,3.0,No,Yes,Average,Paid,4,Not Dropout
S00184,12,Male,41,20,Medium,10.1,Yes,Yes,Average,Paid,3,Dropout
S00185,13,Female,69,74,High,1.0,No,No,Good,Paid,2,Not Dropout
S00186,12,Female,92,28,Low,10.1,No,Yes,Average,Unpaid,1,Dropout
S00187,15,Male,72,43,Low,17.3,No,Yes,Poor,Paid,5,Dropout
S00188,13,Male,45,97,High,19.4,No,No,Average,Unpaid,3,Not Dropout
S00189,16,Male,81,75,Low,15.1,Yes,Yes,Average,Unpaid,1,Dropout
S00190,12,Female,92,39,High,8.6,No,No,Average,Paid,1,Not Dropout
S00191,15,Female,66,61,High,3.8,No,No,Good,Paid,1,Not Dropout
S00192,14,Male,34,49,Low,2.4,No,No,Good,Paid,0,Not Dropout
S00193,14,Female,34,65,Low,13.9,Yes,Yes,Good,Paid,0,Dropout
S00194,13,Female,69,45,Medium,8.4,Yes,No,Good,Paid,0,Not Dropout
S00195,11,Female,62,66,High,1.7,No,No,Average,Paid,0,Not Dropout
S00196,12,Female,55,51,High,14.5,No,Yes,Good,Paid,3,Not Dropout
S00197,12,Male,96,30,Medium,4.3,Yes,Yes,Average,Overdue (3+ Months),2,Dropout
S00198,12,Female,72,56,Low,8.1,No,Yes,Good,Overdue (3+ Months),2,Not Dropout
S00199,18,Female,44,20,Low,4.2,No,Yes,Average,Unpaid,0,Dropout
S00200,13,Female,78,49,High,18.7,No,No,Poor,Paid,0,Not Dropout
S00201,17,Male,67,29,Low,0.7,Yes,Yes,Poor,Paid,3,Dropout
S00202,11,Female,82,61,Low,10.9,No,No,Good,Paid,4,Not Dropout
S00203,11,Female,84,70,High,8.7,Yes,No,Average,Paid,2,Not Dropout
S00204,18,Female,81,22,High,17.2,Yes,Yes,Average,Unpaid,0,Dropout
S00205,13,Female,66,54,High,16.1,Yes,No,Average,Paid,5,Not Dropout
S00206,15,Female,78,90,Low,3.6,Yes,Yes,Poor,Overdue (3+ Months),1,Dropout
S00207,13,Male,40,75,Low,6.6,Yes,Yes,Good,Paid,2,Dropout
S00208,15,Female,51,63,Low,10.8,No,No,Good,Unpaid,5,Not Dropout
S00209,16,Male,83,22,Low,19.1,Yes,Yes,Good,Paid,4,Dropout
S00210,16,Female,63,98,Medium,7.9,Yes,Yes,Poor,Unpaid,5,Dropout
S00211,18,Male,80,97,Medium,5.7,Yes,Yes,Average,Paid,0,Not Dropout
S00212,14,Female,61,44,Medium,6.1,No,Yes,Poor,Unpaid,5,Dropout
S00213,12,Female,54,61,High,6.7,No,Yes,Average,Paid,2,Not Dropout
S00214,11,Male,83,97,High,10.0,Yes,No,Good,Paid,0,Not Dropout
S00215,17,Male,86,85,High,14.8,Yes,No,Good,Paid,1,Not Dropout
S00216,14,Male,42,53,Low,6.2,Yes,Yes,Average,Paid,5,Dropout
S00217,17,Female,56,22,Low,19.9,Yes,Yes,Good,Unpaid,0,Dropout
S00218,15,Male,91,27,High,2.7,No,No,Average,Paid,1,Not Dropout
S00219,18,Female,90,54,Low,8.5,No,No,Average,Paid,3,Not Dropout
S00220,15,Male,93,99,Medium,11.6,No,No,Average,Unpaid,0,Not Dropout
S00221,11,Male,65,20,Low,11.1,Yes,Yes,Poor,Paid,2,Dropout
S00222,15,Female,31,68,Low,15.0,No,Yes,Good,Overdue (3+ Months),1,Dropout
S00223,17,Female,96,36,Medium,11.0,Yes,Yes,Average,Unpaid,1,Dropout
S00224,13,Female,78,94,High,6.4,Yes,Yes,Good,Overdue (3+ Months),1,Not Dropout
S00225,17,Male,61,30,Medium,14.2,No,No,Average,Overdue (3+ Months),0,Not Dropout
S00226,16,Female,75,36,High,5.9,Yes,No,Poor,Unpaid,3,Dropout
S00227,11,Female,94,20,Medium,1.9,Yes,Yes,Good,Unpaid,5,Dropout
S00228,14,Female,31,78,High,7.5,Yes,No,Poor,Paid,2,Not Dropout
S00229,17,Male,34,95,High,0.6,No,Yes,Average,Paid,4,Not Dropout
S00230,11,Female,36,95,High,13.6,Yes,No,Average,Unpaid,0,Not Dropout
S00231,11,Female,97,43,Low,18.7,Yes,Yes,Poor,Overdue (3+ Months),5,Dropout
S00232,18,Female,68,39,Low,15.9,No,No,Good,Overdue (3+ Months),5,Dropout
S00233,14,Female,43,69,Low,8.6,No,No,Good,Paid,4,Not Dropout
S00234,18,Male,82,78,High,8.4,No,Yes,Good,Paid,2,Not Dropout
S00235,14,Female,75,96,High,2.4,Yes,Yes,Good,Overdue (3+ Months),1,Not Dropout
S00236,16,Male,51,48,Low,11.6,Yes,Yes,Good,Paid,3,Dropout
S00237,18,Female,94,43,Low,12.5,Yes,No,Good,Paid,4,Dropout
S00238,17,Female,65,23,High,3.9,No,No,Good,Paid,4,Not Dropout
S00239,12,Female,59,44,Medium,2.0,No,No,Average,Overdue (3+ Months),0,Not Dropout
S00240,11,Male,51,38,Low,18.0,No,Yes,Average,Paid,2,Not Dropout
S00241,16,Male,30,28,Medium,4.8,Yes,Yes,Good,Paid,5,Dropout
S00242,13,Male,90,63,Low,5.7,No,Yes,Poor,Paid,5,Dropout
S00243,15,Female,68,64,High,17.8,Yes,Yes,Good,Paid,2,Not Dropout
S00244,18,Female,93,76,Low,11.5,No,No,Average,Unpaid,2,Not Dropout
S00245,17,Female,45,54,Medium,11.3,No,Yes,Average,Unpaid,0,Not Dropout
S00246,11,Female,47,72,Low,13.9,Yes,Yes,Good,Unpaid,5,Dropout
S00247,17,Male,71,27,High,8.2,Yes,No,Good,Paid,3,Not Dropout
S00248,15,Male,43,52,Low,14.5,No,Yes,Good,Paid,0,Not Dropout
S00249,16,Male,80,40,High,14.9,No,No,Good,Unpaid,3,Not Dropout
S00250,14,Male,87,99,High,16.2,No,No,Average,Paid,2,Not Dropout
S00251,17,Male,42,27,Medium,5.7,Yes,Yes,Good,Paid,0,Dropout
S00252,18,Male,67,38,Medium,5.9,Yes,No,Average,Paid,3,Not Dropout
S00253,18,Male,58,64,Medium,4.1,No,No,Poor,Paid,0,Not Dropout
S00254,16,Female,66,30,Medium,4.8,Yes,No,Average,Unpaid,1,Not Dropout
S00255,11,Female,41,87,High,11.9,No,No,Good,Overdue (3+ Months),1,Not Dropout
S00256,17,Female,90,79,High,17.7,Yes,Yes,Good,Unpaid,2,Not Dropout
S00257,14,Female,83,60,High,15.3,No,Yes,Average,Paid,3,Not Dropout
S00258,18,Male,67,41,Low,0.8,Yes,Yes,Poor,Overdue (3+ Months),5,Dropout
S00259,15,Female,51,68,High,1.7,Yes,Yes,Average,Paid,3,Not Dropout
S00260,11,Female,45,31,High,6.6,Yes,Yes,Average,Overdue (3+ Months),4,Dropout
S00261,11,Female,76,28,Low,16.5,No,No,Average,Paid,0,Not Dropout
S00262,13,Male,60,77,Medium,12.5,No,Yes,Poor,Paid,4,Not Dropout
S00263,17,Male,47,40,Low,10.3,Yes,Yes,Poor,Overdue (3+ Months),3,Dropout
S00264,15,Male,57,94,Medium,12.9,No,No,Average,Overdue (3+ Months),5,Not Dropout
S00265,12,Male,82,83,Medium,14.9,Yes,No,Average,Paid,0,Not Dropout
S00266,17,Male,32,44,Low,4.6,Yes,No,Good,Paid,0,Dropout
S00267,15,Male,56,57,High,12.7,Yes,No,Average,Overdue (3+ Months),3,Not Dropout
S00268,15,Male,68,74,High,7.8,Yes,Yes,Poor,Paid,4,Dropout
S00269,14,Female,68,99,Medium,3.5,No,No,Good,Paid,4,Not Dropout
S00270,18,Female,44,70,High,12.8,Yes,Yes,Average,Paid,2,Not Dropout
S00271,11,Male,47,35,High,17.3,No,Yes,Good,Overdue (3+ Months),2,Not Dropout
S00272,14,Female,95,90,Medium,11.8,Yes,Yes,Average,Paid,4,Not Dropout
S00273,17,Female,60,67,High,13.0,Yes,No,Good,Paid,0,Not Dropout
S00274,11,Male,37,89,Low,13.6,Yes,Yes,Average,Paid,5,Dropout
S00275,11,Female,38,61,Medium,17.4,No,Yes,Poor,Paid,1,Not Dropout
S00276,11,Female,77,78,Medium,15.2,No,No,Good,Paid,0,Not Dropout
S00277,12,Male,48,84,Medium,5.5,No,No,Good,Paid,2,Not Dropout
S00278,13,Female,35,47,Low,19.3,Yes,No,Poor,Paid,1,Dropout
S00279,17,Male,41,21,Low,17.1,No,Yes,Poor,Paid,1,Dropout
S00280,13,Female,91,99,High,1.4,Yes,Yes,Average,Paid,5,Not Dropout
S00281,16,Male,92,54,Medium,18.9,No,Yes,Average,Paid,2,Not Dropout
S00282,12,Female,65,87,Medium,4.5,Yes,Yes,Average,Paid,1,Not Dropout
S00283,12,Female,70,75,Medium,4.8,Yes,Yes,Good,Paid,3,Not Dropout
S00284,17,Male,61,52,Medium,17.4,No,No,Average,Unpaid,2,Not Dropout
S00285,16,Male,88,96,High,15.6,No,Yes,Good,Paid,2,Not Dropout
S00286,16,Female,57,32,Low,1.5,Yes,No,Average,Overdue (3+ Months),4,Dropout
S00287,14,Female,41,29,High,15.4,Yes,Yes,Good,Unpaid,2,Dropout
S00288,12,Female,47,88,Low,17.8,No,No,Average,Paid,0,Not Dropout
S00289,13,Female,32,26,Medium,16.6,Yes,Yes,Average,Paid,4,Dropout
S00290,12,Female,32,47,High,16.1,Yes,No,Good,Paid,5,Dropout
S00291,16,Male,78,23,High,4.7,Yes,Yes,Average,Overdue (3+ Months),2,Dropout
S00292,15,Female,55,96,Low,7.0,No,No,Good,Paid,5,Not Dropout
S00293,16,Female,89,76,High,12.0,No,No,Average,Paid,5,Not Dropout
S00294,14,Female,59,51,Medium,17.2,No,Yes,Poor,Paid,0,Not Dropout
S00295,11,Male,64,89,Medium,2.4,No,Yes,Poor,Paid,2,Not Dropout
S00296,14,Male,38,43,Medium,7.8,No,No,Average,Overdue (3+ Months),5,Dropout
S00297,15,Male,79,62,Medium,7.9,Yes,Yes,Poor,Paid,1,Not Dropout
S00298,13,Male,33,92,Medium,14.5,No,No,Good,Paid,2,Not Dropout
S00299,13,Female,48,29,Medium,2.3,No,No,Good,Unpaid,3,Not Dropout
S00300,17,Male,68,70,Medium,14.2,Yes,Yes,Average,Unpaid,5,Dropout
S00301,18,Female,66,35,High,8.1,No,Yes,Average,Paid,4,Not Dropout
S00302,12,Female,31,80,High,4.8,No,No,Average,Paid,1,Not Dropout
S00303,11,Female,47,35,High,14.2,Yes,No,Good,Unpaid,3,Not Dropout
S00304,14,Female,84,26,Medium,18.6,No,Yes,Average,Overdue (3+ Months),5,Dropout
S00305,11,Male,45,46,Medium,10.1,Yes,Yes,Good,Paid,0,Not Dropout
S00306,15,Male,40,20,Medium,16.3,No,No,Good,Paid,1,Not Dropout
S00307,17,Female,39,30,Medium,2.5,Yes,No,Good,Overdue (3+ Months),5,Dropout
S00308,18,Female,37,55,Low,8.4,No,Yes,Average,Overdue (3+ Months),0,Dropout
S00309,12,Male,35,28,Medium,12.6,Yes,No,Average,Paid,1,Not Dropout
S00310,16,Male,50,63,Low,13.5,Yes,No,Good,Paid,5,Not Dropout
S00311,18,Male,46,86,Medium,1.5,No,Yes,Good,Paid,1,Not Dropout
S00312,18,Male,53,81,Low,10.2,No,No,Good,Paid,0,Not Dropout
S00313,17,Female,34,80,Medium,1.1,No,Yes,Poor,Overdue (3+ Months),4,Dropout
S00314,12,Female,52,85,Low,9.9,Yes,No,Average,Overdue (3+ Months),3,Not Dropout
S00315,17,Female,97,44,Medium,17.3,Yes,Yes,Good,Paid,5,Dropout
S00316,14,Male,66,63,High,16.3,Yes,Yes,Average,Paid,0,Not Dropout
S00317,17,Male,38,48,High,6.3,Yes,Yes,Average,Paid,0,Dropout
S00318,13,Male,90,81,Medium,16.1,Yes,Yes,Good,Paid,0,Not Dropout
S00319,16,Male,38,78,Medium,2.0,Yes,Yes,Average,Paid,4,Dropout
