gender,age,attendance_pct,marks,homework_completion,distance_to_school,fee_status,dropout_label
male,17,82.17107342270788,87.0,97.0,0.6,no,0
female,13,68.16692262754556,,40.0,5.2,yes,0
male,17,87.4557459161152,94.0,89.0,17.7,no,0
female,18,51.04290564238988,42.0,93.0,4.7,yes,1
male,14,40.5247684234389,33.0,,1.6,yes,1
male,15,62.987114012192976,47.0,85.0,8.0,yes,0
female,16,81.39785153350542,88.0,68.0,14.1,no,0
male,15,86.40860451453386,84.0,,1.7,no,0
male,18,,66.0,52.0,16.5,yes,0
female,18,75.20859671907871,82.0,,2.2,no,0
male,13,84.95300006861373,95.0,32.0,1.1,no,0
female,18,71.14032034891409,61.0,42.0,1.8,yes,0
female,15,62.419816967866986,35.0,80.0,19.2,no,0
male,17,58.74032655483006,79.0,63.0,11.2,yes,1
female,14,,91.0,27.0,16.1,yes,1
male,11,78.3252480553486,,97.0,19.9,no,0
female,14,99.17066999910637,92.0,84.0,16.0,no,0
female,13,72.92066931213682,43.0,72.0,2.2,yes,0
female,11,75.03693283460332,80.0,53.0,0.9,no,0
male,18,76.98975735248601,73.0,62.0,15.3,no,0
male,16,65.24836396274807,43.0,36.0,,no,0
female,17,77.4404325135643,50.0,84.0,1.4,no,0
female,11,60.2756881636389,44.0,65.0,9.8,no,0
male,17,77.1520063032544,94.0,,,yes,0
male,16,66.1646803578054,34.0,74.0,8.9,no,1
female,17,85.70256479677144,80.0,25.0,11.6,no,0
female,14,53.68260890612764,,86.0,17.2,yes,1
male,11,83.1974158018689,57.0,98.0,11.2,no,0
female,12,80.53774957566944,66.0,43.0,9.3,no,0
male,14,49.84479545065876,79.0,32.0,,yes,1
female,17,79.50614261757815,57.0,67.0,2.0,no,0
male,16,,46.0,97.0,14.1,yes,0
female,15,,69.0,45.0,14.6,no,1
female,14,39.236419647320815,31.0,26.0,15.6,no,1
male,11,67.29189539822704,78.0,27.0,2.4,yes,1
female,17,74.38856758735747,58.0,36.0,14.2,no,0
female,11,72.55365019999873,48.0,99.0,7.6,no,0
male,15,91.89555589307696,69.0,63.0,11.6,no,1
female,14,55.45129904939796,35.0,95.0,6.4,no,1
male,11,91.7420736862379,97.0,62.0,19.4,yes,0
male,16,73.92850042315644,51.0,37.0,10.7,no,0
female,11,80.71530373304275,87.0,71.0,,yes,0
female,14,73.67890115866082,52.0,91.0,19.9,no,0
female,17,77.943874374948,,74.0,9.6,no,0
male,11,74.76249779136111,62.0,61.0,,yes,0
male,13,100.0,98.0,94.0,2.9,no,0
female,17,70.09279242327025,61.0,23.0,13.2,no,1
male,16,74.03654360733655,,53.0,14.2,yes,0
female,14,76.65547191110872,79.0,52.0,5.6,no,0
male,15,83.62646252350817,66.0,74.0,15.4,yes,0
female,15,71.48971626277957,,61.0,14.0,no,0
male,13,,47.0,86.0,,no,0
male,11,52.93528321640763,43.0,87.0,9.3,yes,1
male,12,85.51539760333065,72.0,66.0,2.2,yes,0
female,17,75.31161673879882,33.0,94.0,6.4,no,0
female,16,,34.0,24.0,3.3,no,1
female,11,66.57794213829796,33.0,70.0,14.5,yes,0
female,12,73.53579723772299,35.0,63.0,4.2,yes,0
female,17,75.1040105686736,78.0,86.0,3.2,no,0
female,17,68.47685023212344,52.0,70.0,3.7,yes,0
male,16,84.96420783982512,93.0,55.0,16.5,no,0
female,13,73.72945046883969,91.0,,15.9,no,0
female,16,73.11385022344956,35.0,77.0,17.3,no,0
male,11,78.03364250896531,89.0,21.0,,no,0
male,14,73.92960656453894,65.0,61.0,10.7,yes,0
male,12,72.55633854721744,,,15.8,no,0
female,16,72.94750697589446,51.0,64.0,16.9,no,0
female,15,71.73498435853483,55.0,100.0,13.4,no,0
male,14,75.2755624024488,61.0,90.0,7.1,no,0
female,12,75.92434591594038,63.0,84.0,15.2,no,0
male,14,71.0837049669491,55.0,92.0,4.9,no,0
female,12,49.63113948044389,73.0,,8.2,no,1
male,18,37.981655469644,36.0,34.0,14.5,no,1
male,12,54.41217313608225,40.0,59.0,15.9,yes,1
male,13,76.80399449824026,69.0,68.0,11.4,no,0
female,16,57.87991194252111,52.0,46.0,17.2,no,1
female,15,83.73838636637686,79.0,69.0,14.7,yes,0
male,14,,76.0,66.0,6.5,no,0
female,16,76.4513523501653,74.0,68.0,6.0,no,0
male,12,,,55.0,14.6,yes,0
male,18,83.64146374533388,65.0,,3.0,no,0
male,12,64.51603145562883,41.0,20.0,10.1,no,1
female,13,70.64402427152616,69.0,74.0,1.0,no,0
female,12,84.3254379159579,92.0,28.0,10.1,yes,1
male,15,64.12396159083,72.0,43.0,17.3,no,1
male,13,63.33511834468467,45.0,97.0,19.4,yes,0
male,16,50.53432840792051,,75.0,15.1,yes,1
female,12,84.94254114908446,92.0,39.0,8.6,no,0
female,15,74.76956672249918,66.0,61.0,3.8,no,0
male,14,84.58323623163315,34.0,49.0,2.4,no,0
female,14,,34.0,65.0,13.9,no,1
female,13,80.93352050401711,69.0,45.0,8.4,no,0
female,11,71.17230294261851,62.0,66.0,1.7,no,0
female,12,77.22481234959625,55.0,51.0,14.5,no,0
male,12,76.15493134423497,96.0,30.0,4.3,yes,1
female,12,75.29582656849958,72.0,56.0,8.1,yes,0
female,18,53.74622039943925,44.0,20.0,4.2,yes,1
female,13,75.1597374496875,78.0,49.0,18.7,no,0
male,17,64.2445327623888,67.0,29.0,0.7,no,1
female,11,88.5318112247513,82.0,61.0,10.9,no,0
female,11,79.10979404093301,84.0,,8.7,no,0
female,18,71.66135732940701,81.0,22.0,17.2,yes,1
female,13,88.32174378590982,66.0,54.0,16.1,no,0
female,15,63.48845677973376,78.0,90.0,3.6,yes,1
male,13,43.746082161924846,40.0,75.0,6.6,no,1
female,15,83.03771098461416,51.0,63.0,10.8,yes,0
male,16,56.27940014724811,83.0,22.0,19.1,no,1
female,16,55.991703872641466,63.0,98.0,7.9,yes,1
male,18,73.66250981933163,80.0,97.0,5.7,no,0
female,14,44.97287646373458,61.0,,6.1,yes,1
female,12,72.55176653304439,54.0,61.0,6.7,no,0
male,11,84.58570157667182,83.0,97.0,10.0,no,0
male,17,85.12481007172786,86.0,85.0,14.8,no,0
male,14,63.72895716569835,42.0,53.0,6.2,no,1
female,17,63.050212088541215,56.0,22.0,19.9,yes,1
male,15,73.1255770294338,91.0,27.0,2.7,no,0
female,18,87.2990522303815,90.0,54.0,8.5,no,0
male,15,86.31685682205128,93.0,99.0,11.6,yes,0
male,11,57.74948242275475,65.0,20.0,11.1,no,1
female,15,52.44621630834782,31.0,68.0,15.0,yes,1
female,17,71.25402026376396,,36.0,11.0,yes,1
female,13,,,94.0,6.4,yes,0
male,17,73.63486125990022,61.0,30.0,14.2,yes,0
female,16,65.4963974664585,75.0,36.0,5.9,yes,1
female,11,95.23347739410616,94.0,20.0,1.9,yes,1
female,14,,31.0,78.0,7.5,no,0
male,17,57.29481728437767,34.0,95.0,0.6,no,0
female,11,69.856321676588,,95.0,,yes,0
female,11,54.33385898071146,97.0,43.0,18.7,yes,1
female,18,,68.0,39.0,15.9,yes,1
female,14,75.4237733296973,43.0,69.0,8.6,no,0
male,18,88.38069767148266,82.0,78.0,8.4,no,0
female,14,81.58078862850641,75.0,96.0,,yes,0
male,16,49.03146237928813,51.0,48.0,,no,1
female,18,46.253465187744126,94.0,43.0,12.5,no,1
female,17,84.50455919188303,65.0,23.0,3.9,no,0
female,12,78.43831046247945,59.0,44.0,2.0,yes,0
male,11,77.41394565982053,51.0,38.0,18.0,no,0
male,16,40.39296182924032,30.0,28.0,4.8,no,1
male,13,66.61024318034815,90.0,63.0,5.7,no,1
female,15,77.05201794132768,68.0,64.0,17.8,no,0
female,18,84.97657058401819,93.0,76.0,11.5,yes,0
female,17,78.25813739087785,45.0,54.0,11.3,yes,0
female,11,41.18206289662268,47.0,72.0,13.9,yes,1
male,17,78.89239131886558,71.0,27.0,8.2,no,0
male,15,69.79917283312241,43.0,52.0,14.5,no,0
male,16,72.75954280890187,80.0,,14.9,yes,0
male,14,87.73213346450103,87.0,99.0,16.2,no,0
male,17,49.33338595372568,42.0,27.0,5.7,no,1
male,18,75.25069430907509,67.0,38.0,5.9,no,0
male,18,86.44732601885048,58.0,64.0,4.1,no,0
female,16,83.56283399209606,66.0,30.0,4.8,yes,0
female,11,73.31926771661422,41.0,,11.9,yes,0
female,17,86.79889468825974,90.0,79.0,17.7,yes,0
female,14,81.26251585859433,83.0,60.0,15.3,no,0
male,18,56.75036125208395,67.0,41.0,0.8,yes,1
female,15,77.7536560780735,51.0,68.0,1.7,no,0
female,11,39.66359401211519,45.0,31.0,6.6,yes,1
female,11,,76.0,28.0,,no,0
male,13,78.97107941253239,60.0,77.0,12.5,no,0
male,17,57.13778384107569,,40.0,10.3,yes,1
male,15,65.49768954823914,57.0,94.0,12.9,yes,0
male,12,84.70009284398296,82.0,83.0,14.9,no,0
male,17,60.8335160871082,32.0,44.0,4.6,no,1
male,15,77.54318903082306,56.0,57.0,12.7,yes,0
male,15,64.69344228819163,68.0,74.0,7.8,no,1
female,14,73.96793666427381,68.0,99.0,3.5,no,0
female,18,74.58692201587249,44.0,70.0,12.8,no,0
male,11,68.36319797940013,47.0,35.0,17.3,yes,0
female,14,83.17284419895988,,90.0,11.8,no,0
female,17,72.04669013828531,60.0,67.0,13.0,no,0
male,11,73.67826724377124,37.0,89.0,13.6,no,1
female,11,67.03239395525753,38.0,61.0,17.4,no,0
female,11,89.14639203755478,77.0,78.0,15.2,no,0
male,12,83.03595468217722,48.0,84.0,5.5,no,0
female,13,39.4196795441741,35.0,47.0,19.3,no,1
male,17,,41.0,21.0,17.1,no,1
female,13,91.280410122609,91.0,,1.4,no,0
male,16,82.8455770466311,,54.0,18.9,no,0
female,12,71.44302559726844,65.0,87.0,4.5,no,0
female,12,74.6910759312363,70.0,75.0,4.8,no,0
male,17,73.08667292539401,61.0,,17.4,yes,0
male,16,91.97231647137056,88.0,,15.6,no,0
female,16,52.74898952177553,57.0,32.0,1.5,yes,1
female,14,55.66903064574345,41.0,29.0,15.4,yes,1
female,12,74.6135867514545,,88.0,17.8,no,0
female,13,47.13220254906267,32.0,26.0,16.6,no,1
female,12,49.11337318530741,32.0,47.0,16.1,no,1
male,16,61.3542375288277,78.0,,4.7,yes,1
female,15,79.06868146479606,55.0,96.0,7.0,no,0
female,16,90.37979391991549,89.0,76.0,12.0,no,0
female,14,73.4523073783328,59.0,51.0,17.2,no,0
male,11,77.70379689534818,64.0,89.0,,no,0
male,14,53.853380424410695,38.0,43.0,7.8,yes,1
male,15,78.68102033659777,79.0,62.0,7.9,no,0
male,13,60.14987778704256,33.0,92.0,14.5,no,0
female,13,66.72049227977661,48.0,29.0,2.3,yes,0
male,17,64.44395257899814,68.0,70.0,14.2,yes,1
female,18,81.3719049770879,66.0,35.0,8.1,no,0
female,12,74.63155822210423,,80.0,4.8,no,0
female,11,62.956902584971886,47.0,35.0,14.2,yes,0
female,14,62.35048515720962,84.0,26.0,18.6,yes,1
male,11,68.64546626850151,45.0,46.0,10.1,no,0
male,15,74.40671730353185,40.0,20.0,16.3,no,0
female,17,48.788210190263285,39.0,30.0,2.5,yes,1
female,18,65.35046824433905,37.0,,8.4,yes,1
male,12,,35.0,28.0,12.6,no,0
male,16,75.44546609063153,50.0,63.0,13.5,no,0
male,18,70.18318583004171,46.0,86.0,1.5,no,0
male,18,69.17951627962853,53.0,81.0,10.2,no,0
female,17,69.11131252476181,34.0,80.0,1.1,yes,1
female,12,80.10007166216695,52.0,85.0,,yes,0
female,17,78.3938758563691,97.0,44.0,17.3,no,1
male,14,71.89754432404735,66.0,63.0,16.3,no,0
male,17,,38.0,48.0,6.3,no,1
male,13,84.8773814165188,90.0,81.0,16.1,no,0
male,16,62.390631313245954,38.0,78.0,2.0,no,1
female,12,70.4310370330358,35.0,64.0,17.3,no,0
female,12,69.77739232054812,42.0,80.0,18.7,yes,0
female,12,78.60571554936409,78.0,56.0,5.6,no,0
male,14,84.53881554164805,73.0,47.0,14.3,no,0
male,15,85.12272037721027,68.0,,3.2,yes,0
male,15,78.63038658620141,48.0,57.0,,no,0
male,16,59.973134256955774,39.0,94.0,1.1,yes,1
male,11,94.42093941241929,96.0,59.0,8.2,no,0
male,16,64.7969916845689,83.0,,3.3,no,1
female,18,50.79392447775443,75.0,28.0,6.8,no,1
male,14,77.93323551035861,72.0,84.0,10.2,no,0
male,17,75.536109142067,43.0,59.0,16.5,no,0
female,14,73.70492435937679,43.0,,20.0,no,0
female,16,84.2910656053181,95.0,71.0,16.6,yes,0
female,17,88.47729496133124,86.0,76.0,17.1,yes,0
male,13,75.38112165878444,57.0,24.0,11.7,no,0
female,13,40.72611843149816,43.0,40.0,0.6,no,1
female,12,68.23937771736149,,56.0,2.1,no,0
male,18,86.3844795198562,88.0,46.0,10.6,no,0
male,15,73.4307763791203,69.0,79.0,13.6,yes,1
male,11,77.53431753349409,96.0,44.0,3.7,no,0
female,18,82.23711740633786,65.0,52.0,3.6,yes,0
male,18,70.57426731966615,54.0,50.0,,yes,0
male,11,,64.0,97.0,1.5,no,1
female,17,57.56116309352532,30.0,62.0,0.6,no,0
female,14,71.67020165733767,47.0,,,no,1
female,12,70.69014058803286,59.0,93.0,12.8,no,0
male,18,59.293414035493385,83.0,26.0,12.0,no,1
male,15,83.43321848442223,97.0,50.0,13.0,no,0
female,12,79.35457593693297,36.0,89.0,0.7,no,0
female,12,72.40323207150087,,59.0,18.6,no,0
female,16,64.1122393555762,39.0,,18.9,no,0
female,11,68.07964101487434,74.0,100.0,8.5,no,0
female,17,63.35541595800957,56.0,59.0,5.5,no,0
male,11,61.1445187446452,,,5.4,yes,1
female,17,74.10776569992643,69.0,81.0,3.6,yes,0
female,16,84.48848055072274,95.0,33.0,6.5,yes,0
female,14,71.88524205725413,96.0,77.0,14.6,no,0
female,17,53.93860401245812,35.0,83.0,,no,1
female,16,82.77469758342679,63.0,39.0,12.3,no,0
male,18,89.22389985839442,72.0,41.0,1.3,yes,0
male,11,62.86498926812202,58.0,59.0,,no,0
female,12,81.45122561679331,97.0,23.0,6.3,no,0
female,17,80.21832667586042,94.0,99.0,2.1,no,0
female,15,76.61804499341159,61.0,90.0,14.7,no,0
male,17,,49.0,88.0,10.0,no,0
male,15,66.05528325041922,33.0,48.0,8.8,no,1
female,13,75.07419157162016,58.0,43.0,8.9,yes,0
male,17,,86.0,100.0,7.4,no,0
male,16,84.83409652283149,,65.0,19.4,no,0
female,13,86.0988999682749,96.0,41.0,1.5,no,0
female,12,54.81997358338692,47.0,33.0,3.7,yes,1
male,16,67.96997087826009,51.0,43.0,6.8,no,0
male,15,61.596336816948536,40.0,54.0,,yes,1
female,16,75.75472172152334,74.0,,10.4,no,0
female,18,98.1779477853524,90.0,92.0,4.1,no,0
male,13,,57.0,85.0,14.9,no,0
female,13,86.1295694737996,90.0,22.0,19.8,no,0
female,12,74.04884764183323,76.0,95.0,1.5,yes,0
male,15,80.24088004619823,57.0,41.0,1.8,no,0
male,13,59.79415597495333,80.0,97.0,11.3,yes,1
male,17,56.13274466560184,48.0,97.0,14.2,yes,1
female,14,72.47901112584563,62.0,36.0,19.4,no,0
male,18,36.67627481888128,43.0,60.0,19.8,no,1
female,15,84.95673366407344,52.0,80.0,11.3,no,0
female,17,79.45720735202157,83.0,77.0,18.9,yes,0
female,14,80.15254618535269,90.0,87.0,18.2,no,0
female,12,61.11618436317843,53.0,79.0,13.8,yes,1
female,18,77.09159357077652,64.0,75.0,15.6,yes,0
male,17,52.50087888294981,30.0,32.0,13.2,no,1
female,13,52.76595821913016,90.0,25.0,16.3,no,1
male,15,91.03745733394854,93.0,,11.8,yes,0
male,16,,30.0,56.0,14.8,no,1
female,11,48.24635164679747,42.0,80.0,8.1,no,1
female,17,56.223550603024414,36.0,82.0,13.1,yes,1
female,16,84.18336796017232,78.0,93.0,14.2,no,0
female,16,64.40443790743727,,52.0,2.6,yes,0
female,18,79.79458865059169,65.0,50.0,10.6,no,0
female,11,87.68455834929779,93.0,67.0,9.0,no,0
female,18,80.0334628418789,74.0,24.0,7.6,yes,0
male,14,85.80560022440393,78.0,92.0,10.4,yes,0
male,15,,53.0,73.0,7.4,no,0
male,11,74.99102782520808,,94.0,17.1,no,0
female,15,81.79862405661588,87.0,50.0,6.9,no,0
female,16,66.30744065765806,60.0,,19.0,yes,0
female,11,77.93675355830534,77.0,74.0,6.2,no,0
male,15,47.10869268488852,31.0,30.0,17.7,no,1
female,15,48.96580724305464,32.0,60.0,,yes,1
male,15,,33.0,,4.4,yes,1
female,11,87.58540632920243,79.0,48.0,4.4,yes,0
female,13,80.00055072850122,69.0,,3.2,yes,0
male,11,73.82529619123798,66.0,58.0,3.5,no,0
female,16,42.1970307415928,87.0,39.0,14.0,yes,1
female,14,88.69538590377269,89.0,88.0,17.6,yes,0
female,15,,,62.0,8.3,no,0
female,11,85.66644660351307,97.0,37.0,14.9,yes,0
female,17,72.22068294372644,84.0,81.0,18.5,no,0
male,15,73.63678371546331,72.0,21.0,19.6,yes,1
male,15,74.2436005562636,63.0,82.0,,no,0
male,14,,72.0,43.0,2.2,yes,0
female,13,89.70915813414203,70.0,56.0,0.8,no,0
male,12,80.36067935781831,64.0,88.0,17.8,yes,0
female,17,73.79529784016735,,,3.8,no,0
male,15,66.00922015774458,52.0,52.0,3.6,no,0
female,17,44.25436661806732,64.0,76.0,6.9,yes,1
female,11,74.98408591939867,82.0,100.0,16.2,yes,0
female,17,,93.0,91.0,17.8,no,0
male,15,67.27454057783184,49.0,76.0,17.0,no,0
male,14,79.96808322724283,71.0,64.0,7.0,no,1
female,12,86.5110238666286,84.0,52.0,17.8,yes,0
male,17,,,49.0,17.4,no,0
male,13,38.97428863884589,31.0,47.0,8.9,no,1
male,13,71.20487436817886,46.0,72.0,12.4,yes,0
male,16,64.72359016777887,85.0,68.0,7.9,yes,1
female,17,69.97270243194893,56.0,68.0,14.8,yes,0
female,11,68.1285441088896,74.0,74.0,12.2,no,0
male,17,66.67187424822379,45.0,32.0,,no,0
female,12,43.99404749707767,30.0,40.0,8.9,no,1
male,14,39.86759968145825,35.0,32.0,17.5,no,1
male,14,50.53002559478067,56.0,,4.3,yes,1
male,13,56.49284962729663,38.0,40.0,8.4,yes,1
female,11,84.70610844878954,78.0,95.0,1.8,no,0
female,12,67.75095102396605,79.0,40.0,17.5,no,1
male,18,61.20017946625285,56.0,32.0,17.3,yes,1
female,17,75.98727185052532,89.0,97.0,12.9,no,0
female,16,72.21388857001254,66.0,,13.6,no,0
female,16,36.19299292311981,37.0,45.0,19.2,yes,1
female,16,66.20583537400583,48.0,30.0,1.4,yes,1
female,16,72.93811189444718,67.0,27.0,18.0,no,0
male,12,80.50322066806245,94.0,77.0,15.4,yes,1
female,13,66.82545968841593,74.0,90.0,5.0,yes,1
female,13,48.22305593286488,30.0,67.0,15.1,yes,1
female,15,77.45781887229057,84.0,48.0,18.5,no,0
male,17,76.38563188132613,51.0,49.0,15.3,no,1
male,16,79.93041028674882,,96.0,10.0,no,0
male,17,70.5816165641516,49.0,75.0,13.0,no,0
female,13,57.28200122982928,50.0,61.0,10.9,no,1
male,13,79.12739445812915,53.0,81.0,9.4,yes,0
female,15,,33.0,62.0,2.2,yes,0
female,18,83.72491555590467,66.0,74.0,9.0,yes,0
male,16,52.328440096484506,40.0,26.0,17.8,yes,1
female,16,55.29603622030431,38.0,35.0,6.8,yes,1
male,18,,84.0,86.0,2.7,no,0
male,14,77.45405526298464,45.0,71.0,,yes,0
female,18,80.43368762435362,67.0,66.0,1.3,no,0
male,18,84.90121699388811,37.0,28.0,16.8,no,0
female,18,71.65364819751652,41.0,68.0,2.8,no,0
female,16,84.89543464578873,77.0,98.0,7.7,yes,0
male,17,80.229670515165,70.0,79.0,10.2,no,0
female,14,74.11293038402664,73.0,37.0,16.0,yes,1
female,15,52.69804327841291,74.0,39.0,5.4,yes,1
female,15,85.35373622134897,87.0,65.0,1.9,yes,0
male,12,86.18340723642729,85.0,56.0,6.3,no,0
male,15,79.67264376775988,50.0,92.0,10.0,no,0
female,17,86.64575851731371,91.0,87.0,6.2,no,0
female,11,83.88379819482105,98.0,63.0,6.8,yes,0
female,16,84.1408198214264,,,12.0,no,0
male,14,79.37044109371075,92.0,48.0,,no,1
male,13,,47.0,48.0,13.6,yes,0
female,14,70.19060623481865,54.0,97.0,,yes,0
female,13,78.4948748988688,50.0,71.0,7.1,yes,0
female,15,61.54233729756538,62.0,48.0,15.8,yes,1
male,14,64.9487523193648,31.0,33.0,12.8,yes,1
female,15,80.96007838578427,81.0,90.0,4.3,yes,0
female,14,77.93686700165195,85.0,41.0,7.1,no,0
female,18,72.59822697690056,71.0,,19.8,no,0
male,13,93.4893319494711,,79.0,11.5,yes,0
female,12,70.11795479667464,40.0,87.0,6.9,no,0
female,11,93.2891868009822,96.0,53.0,6.4,no,0
male,13,79.92491370716508,,81.0,,no,0
female,15,81.81166434037495,90.0,55.0,6.1,no,0
male,16,73.59551354668206,72.0,48.0,13.9,no,1
male,13,67.28356788559549,,61.0,1.9,no,0
male,18,60.0095530409936,33.0,,6.6,no,0
male,13,85.63147615180318,98.0,49.0,17.5,no,0
male,14,82.70129151850713,72.0,66.0,11.2,no,0
male,16,79.75611569343158,85.0,69.0,14.0,yes,0
female,18,70.35348786915728,50.0,32.0,16.9,no,0
male,16,73.70778881107043,58.0,95.0,4.8,no,0
male,13,84.20263478725364,45.0,69.0,,yes,0
male,11,47.40186128261435,75.0,37.0,16.8,no,1
female,18,76.22055341304603,71.0,24.0,12.5,no,1
male,17,75.90396381331136,67.0,48.0,2.2,no,0
male,12,73.76387407643466,68.0,28.0,5.9,no,0
female,14,70.04938304491553,48.0,78.0,10.9,no,0
female,17,82.90447033615057,71.0,96.0,10.1,no,0
male,12,60.993297166707336,87.0,,4.8,yes,1
male,13,86.47190787133894,93.0,80.0,3.4,yes,0
male,14,84.98427029367676,69.0,43.0,17.1,no,0
female,16,45.52449099648036,36.0,48.0,9.7,yes,1
female,17,64.0833421997532,62.0,64.0,6.5,no,1
female,15,50.00993729355835,86.0,43.0,16.9,yes,1
female,14,77.31498176004112,56.0,,4.1,no,0
male,13,79.14496415257298,62.0,,,no,0
