gender,age,attendance_pct,marks,homework_completion_pct,distance_to_school,Tution_fee_status,Transportation_fee_status,has_schlorship,has_transportation,dropout
0,7,75.8,49.0,57.2,1091.3,0,Not Applicable,0,0,Yes
1,11,85.5,82.7,83.2,4578.1,1,Not Applicable,0,0,No
0,15,83.4,81.2,81.7,3279.6,0,Paid,0,1,No
0,15,76.4,75.2,82.4,924.6,1,Not Applicable,0,0,No
1,15,56.5,37.6,47.7,1060.6,0,Not Applicable,0,0,Yes
0,7,52.4,55.2,47.8,710.4,1,Paid,1,1,Yes
0,9,70.6,73.6,69.5,1207.4,1,Paid,0,1,No
0,9,97.0,65.3,69.1,935.0,1,Not Applicable,1,0,No
0,14,65.1,46.8,49.0,5313.9,1,Partial,0,1,No
1,12,71.7,50.3,64.3,666.7,1,Paid,0,1,No
1,11,71.6,50.4,48.3,3712.9,1,Paid,0,1,Yes
1,12,28.9,23.7,26.6,4108.7,0,Partial,0,1,Yes
1,14,71.2,65.6,78.5,514.9,0,Not Applicable,0,0,Yes
1,9,75.1,63.7,68.0,335.1,1,Paid,0,1,Yes
0,6,76.2,57.6,54.9,2011.6,0,Not Applicable,0,0,No
1,10,78.5,76.0,72.2,1472.8,1,Not Applicable,1,0,No
1,12,86.3,84.8,76.2,2039.1,1,Not Applicable,0,0,No
1,17,65.4,53.2,70.1,2015.4,1,Unpaid,0,1,No
1,10,63.6,55.0,50.7,476.9,1,Not Applicable,1,0,No
0,18,74.1,55.4,60.1,548.5,1,Paid,0,1,No
0,7,82.0,71.3,71.2,386.1,1,Paid,0,1,No
0,13,78.4,56.2,86.2,335.1,1,Not Applicable,0,0,No
0,9,87.8,69.6,85.4,1593.1,1,Paid,0,1,Yes
1,14,72.3,43.6,62.0,548.3,1,Not Applicable,0,0,Yes
1,8,86.2,76.2,77.6,3824.1,1,Paid,0,1,No
0,9,75.3,66.7,76.0,6131.8,1,Paid,0,1,No
0,16,79.9,63.9,67.1,514.8,1,Paid,1,1,No
0,15,93.2,80.9,93.4,3306.7,1,Partial,0,1,No
0,16,87.6,85.0,81.1,2364.5,1,Paid,0,1,No
0,15,72.7,66.2,71.1,418.4,1,Not Applicable,0,0,No
0,10,96.3,72.7,87.2,1452.7,1,Not Applicable,0,0,No
1,16,82.8,75.4,78.3,2073.8,1,Paid,0,1,No
0,10,59.8,46.1,53.1,2004.0,1,Not Applicable,0,0,Yes
0,14,75.9,64.0,54.4,2598.3,0,Paid,0,1,Yes
1,13,53.9,43.6,52.8,2575.7,0,Not Applicable,0,0,Yes
0,13,71.5,69.3,54.7,488.9,1,Not Applicable,0,0,No
1,6,75.5,58.4,64.7,11789.7,1,Not Applicable,0,0,Yes
1,9,63.0,58.8,65.4,2170.7,1,Paid,0,1,No
0,12,79.3,67.9,82.0,1753.7,1,Not Applicable,1,0,No
0,13,82.5,66.0,66.3,1487.4,1,Partial,1,1,No
0,12,83.1,75.7,75.5,593.2,1,Paid,0,1,No
0,8,88.6,79.0,79.1,1027.0,1,Not Applicable,1,0,No
0,8,96.8,69.3,83.8,2597.1,1,Paid,0,1,No
1,14,76.9,81.2,84.8,190.8,1,Not Applicable,0,0,No
0,13,74.2,59.5,63.2,2105.7,1,Partial,0,1,No
0,15,66.0,69.7,62.5,2601.6,1,Partial,1,1,No
0,10,75.6,61.9,65.2,606.1,1,Not Applicable,0,0,No
1,8,76.7,65.9,73.5,697.9,1,Paid,0,1,No
0,9,93.6,100.0,100.0,2866.8,1,Paid,0,1,No
0,10,81.2,61.1,70.9,3151.6,1,Paid,0,1,No
0,13,100.0,86.3,81.2,1497.3,0,Not Applicable,0,0,No
1,7,88.5,68.9,69.7,573.8,1,Paid,0,1,No
0,17,72.1,61.4,71.3,6981.0,1,Partial,0,1,Yes
1,14,68.1,64.2,60.4,6037.6,0,Paid,0,1,No
1,16,66.0,61.1,68.0,440.7,0,Paid,0,1,No
0,10,80.9,58.9,55.3,926.6,1,Not Applicable,0,0,Yes
1,8,100.0,89.3,100.0,1675.9,1,Not Applicable,0,0,No
0,16,69.4,64.2,43.8,2628.4,1,Paid,0,1,No
1,7,57.3,54.4,58.9,5019.1,1,Partial,1,1,No
1,16,77.8,78.2,73.4,296.5,1,Not Applicable,0,0,No
1,10,86.9,86.6,99.4,1178.5,1,Paid,0,1,No
0,12,67.9,75.8,69.5,174.7,1,Partial,0,1,No
1,7,75.0,56.8,73.5,3511.8,0,Not Applicable,0,0,Yes
0,5,73.1,62.5,73.1,2817.6,0,Not Applicable,0,0,No
0,16,68.1,66.0,57.4,511.9,1,Paid,1,1,No
0,16,100.0,67.7,87.3,606.5,1,Paid,1,1,No
1,8,69.8,60.0,55.6,1070.0,0,Not Applicable,0,0,No
1,7,82.3,89.2,84.2,3409.7,1,Not Applicable,1,0,No
0,18,100.0,86.6,96.9,866.3,1,Not Applicable,0,0,No
0,5,70.6,57.7,73.4,844.8,1,Unpaid,0,1,No
0,15,74.1,57.5,74.9,3864.0,1,Not Applicable,0,0,No
1,13,80.3,64.4,51.3,878.6,1,Not Applicable,0,0,No
0,18,81.5,69.4,69.1,821.5,1,Partial,0,1,No
1,7,80.9,76.6,70.1,1760.1,1,Not Applicable,0,0,No
0,15,68.0,61.0,61.3,471.4,0,Not Applicable,0,0,No
1,13,82.5,66.8,78.3,327.4,0,Not Applicable,0,0,No
0,10,93.6,75.6,89.8,4202.2,1,Not Applicable,0,0,No
0,9,79.1,60.1,64.0,527.2,0,Not Applicable,0,0,No
0,13,59.7,50.7,52.1,479.9,0,Paid,0,1,Yes
1,13,66.6,54.5,59.4,2916.7,1,Not Applicable,0,0,No
1,16,75.6,62.0,68.3,306.9,1,Paid,0,1,No
0,12,65.3,65.1,75.0,208.5,0,Not Applicable,0,0,Yes
1,8,68.3,59.4,53.5,9634.3,1,Not Applicable,0,0,No
1,17,71.3,46.4,63.2,1974.3,0,Paid,0,1,Yes
1,14,79.3,73.2,66.6,1297.3,1,Paid,0,1,No
1,6,71.1,56.0,65.1,1558.5,0,Paid,0,1,No
0,8,84.3,70.1,72.8,333.7,1,Paid,1,1,No
0,10,75.7,74.6,71.6,1457.3,1,Not Applicable,0,0,No
1,11,68.9,52.5,51.2,637.1,1,Not Applicable,0,0,Yes
1,10,91.7,80.0,83.4,247.0,1,Paid,1,1,No
1,9,48.8,42.3,47.8,344.0,0,Not Applicable,0,0,Yes
0,10,70.0,62.1,70.7,192.2,1,Not Applicable,0,0,Yes
0,15,72.1,63.1,55.9,1169.6,1,Paid,0,1,Yes
1,16,94.5,96.2,92.6,6745.9,1,Not Applicable,0,0,No
1,14,98.0,78.2,82.6,1758.2,1,Paid,0,1,No
1,9,98.0,78.8,84.5,619.8,1,Not Applicable,0,0,No
1,8,60.8,72.8,58.2,295.4,0,Partial,0,1,No
1,15,96.3,77.3,78.1,2106.3,1,Not Applicable,0,0,No
0,7,63.7,53.5,52.5,599.0,0,Not Applicable,0,0,Yes
0,13,82.9,76.6,70.3,4456.8,0,Not Applicable,0,0,No
1,10,81.8,73.7,62.4,2201.8,1,Paid,1,1,No
1,9,97.1,92.6,96.2,2853.7,0,Not Applicable,0,0,No
0,11,68.9,50.9,60.9,2017.6,1,Paid,0,1,No
0,14,79.3,61.0,72.6,358.3,1,Not Applicable,0,0,No
1,11,64.9,67.3,65.4,2458.8,1,Not Applicable,0,0,No
0,10,62.9,43.2,50.0,14084.8,1,Not Applicable,0,0,Yes
0,10,75.5,73.5,74.8,692.8,1,Not Applicable,0,0,No
1,15,82.4,75.8,80.4,1346.3,1,Not Applicable,1,0,No
1,14,68.4,64.9,66.9,2651.0,1,Not Applicable,0,0,No
1,15,86.2,87.1,78.8,1886.1,1,Not Applicable,0,0,No
0,6,70.7,53.7,62.8,210.5,1,Not Applicable,0,0,No
1,12,90.3,93.4,91.2,8443.2,1,Not Applicable,1,0,No
0,15,64.0,67.2,64.6,2837.7,0,Not Applicable,0,0,Yes
0,7,70.0,44.6,53.9,979.3,0,Paid,0,1,Yes
1,9,61.0,51.3,45.9,1267.0,1,Not Applicable,0,0,Yes
1,7,73.9,66.0,56.1,2423.3,1,Paid,0,1,Yes
1,16,68.7,50.8,48.2,1264.8,0,Not Applicable,0,0,Yes
1,13,73.0,62.3,70.1,4190.8,0,Not Applicable,0,0,No
1,17,78.5,69.6,70.6,3732.8,0,Not Applicable,0,0,No
0,10,73.0,68.5,62.4,739.4,1,Paid,1,1,Yes
0,8,68.3,52.5,63.2,1425.6,1,Paid,1,1,No
0,8,90.8,75.8,77.1,102.5,1,Not Applicable,1,0,No
0,9,65.8,77.2,72.8,3330.3,1,Not Applicable,0,0,No
1,7,86.4,75.9,87.5,1266.5,1,Paid,0,1,No
0,9,68.8,61.3,62.3,3868.0,1,Paid,0,1,No
1,14,66.6,55.7,51.7,4006.6,1,Paid,0,1,Yes
1,11,43.5,36.7,44.7,6227.0,1,Paid,0,1,No
1,8,69.3,76.7,63.7,2924.0,0,Paid,0,1,No
0,11,88.5,66.1,93.1,1807.3,0,Paid,0,1,No
1,14,80.6,62.7,65.8,8044.8,1,Not Applicable,1,0,No
0,9,86.7,75.7,85.7,1369.7,1,Not Applicable,0,0,No
0,7,53.0,49.9,37.4,1530.9,1,Not Applicable,0,0,Yes
1,8,79.8,59.3,67.9,3577.7,1,Not Applicable,0,0,No
0,10,91.7,92.3,90.5,313.9,1,Not Applicable,1,0,No
0,15,83.9,78.4,80.9,8158.7,1,Not Applicable,1,0,No
1,11,73.5,61.3,77.4,558.4,1,Not Applicable,0,0,Yes
0,12,63.3,49.9,46.5,1432.2,1,Paid,1,1,No
1,7,90.2,75.8,75.8,316.3,1,Not Applicable,0,0,No
1,14,57.0,51.5,55.5,2459.0,0,Paid,0,1,No
1,6,85.3,59.1,61.9,274.0,1,Not Applicable,0,0,No
0,9,57.3,54.2,40.0,171.7,0,Paid,0,1,No
0,9,69.9,64.1,67.4,195.4,0,Partial,0,1,Yes
1,11,62.2,40.5,50.6,1215.0,1,Not Applicable,0,0,No
0,16,84.0,53.2,68.1,1241.5,1,Paid,0,1,No
1,11,73.8,66.1,74.4,1708.1,1,Not Applicable,1,0,No
1,7,66.6,72.9,64.1,141.5,1,Not Applicable,0,0,No
1,14,97.8,95.6,100.0,1355.3,1,Not Applicable,0,0,No
0,16,100.0,99.8,93.0,2412.3,1,Paid,0,1,No
0,10,76.9,63.0,64.1,1104.3,1,Paid,0,1,No
1,6,76.2,44.6,62.2,1288.1,1,Paid,1,1,No
0,10,100.0,87.9,85.1,153.7,0,Partial,0,1,No
0,7,74.8,69.2,58.9,281.4,1,Paid,1,1,No
1,14,66.6,62.5,66.2,1969.8,1,Not Applicable,0,0,No
1,8,61.9,49.8,54.2,179.1,1,Not Applicable,0,0,No
1,10,89.1,65.0,75.6,299.7,0,Not Applicable,0,0,Yes
1,9,77.9,62.3,71.5,2867.6,1,Unpaid,0,1,No
0,9,87.3,83.2,81.9,3648.5,1,Partial,0,1,No
1,6,82.8,64.7,80.0,3875.8,0,Partial,0,1,No
1,12,92.6,86.7,83.5,496.2,1,Paid,0,1,No
0,8,86.2,65.0,81.2,477.3,1,Not Applicable,0,0,No
0,9,50.1,36.8,38.6,789.2,0,Not Applicable,0,0,Yes
1,11,73.7,59.6,73.9,1333.1,0,Paid,0,1,No
1,14,80.4,65.9,82.5,4107.6,1,Partial,0,1,No
1,17,100.0,83.5,94.7,1687.0,1,Not Applicable,1,0,No
1,9,75.6,63.8,55.5,1384.6,1,Paid,0,1,No
0,8,79.9,62.7,71.0,951.3,1,Not Applicable,0,0,Yes
0,11,90.8,74.4,80.9,136.7,1,Partial,0,1,No
1,15,78.3,80.0,78.4,428.8,1,Paid,0,1,No
1,5,98.0,87.4,98.9,1191.6,0,Paid,0,1,No
1,9,84.3,68.4,88.8,1470.0,0,Partial,0,1,No
1,15,75.0,70.0,57.3,1646.3,1,Not Applicable,1,0,No
0,8,67.7,59.1,66.3,878.1,1,Not Applicable,0,0,No
0,10,57.0,43.9,47.0,6994.6,0,Not Applicable,1,0,Yes
1,13,52.1,48.3,52.4,1534.6,1,Paid,1,1,No
1,11,59.9,45.0,56.3,4982.7,0,Not Applicable,0,0,Yes
1,12,82.4,64.5,75.1,379.5,1,Not Applicable,0,0,No
1,6,88.6,73.9,69.7,2181.7,1,Not Applicable,0,0,No
1,13,67.2,41.9,53.8,4245.8,1,Not Applicable,0,0,Yes
0,11,57.2,55.1,48.0,642.9,0,Paid,0,1,Yes
0,8,87.3,74.9,73.2,3170.1,1,Not Applicable,1,0,No
0,9,86.4,74.8,70.9,1387.1,1,Paid,0,1,No
1,7,53.3,45.0,42.1,2370.8,1,Not Applicable,1,0,No
0,11,84.3,80.9,95.9,2448.8,1,Paid,1,1,No
0,17,69.9,40.9,73.7,323.2,1,Partial,0,1,No
1,16,59.5,45.2,56.6,203.0,1,Paid,1,1,No
0,8,75.0,55.8,81.7,1771.9,1,Not Applicable,0,0,No
1,7,45.8,53.4,37.4,2397.1,0,Paid,0,1,Yes
0,10,64.7,57.3,45.0,3127.9,0,Not Applicable,0,0,Yes
0,11,78.8,70.5,79.1,497.1,1,Not Applicable,0,0,No
1,16,76.4,71.0,73.3,446.9,1,Not Applicable,0,0,No
0,11,85.7,73.4,72.8,1649.9,0,Not Applicable,0,0,No
0,10,94.2,79.5,85.6,870.7,1,Paid,1,1,No
1,16,60.1,50.7,55.9,4181.8,1,Paid,0,1,No
1,15,77.8,69.6,82.5,965.3,0,Not Applicable,0,0,Yes
0,16,94.0,87.1,76.1,1242.9,1,Not Applicable,1,0,No
1,12,70.3,54.8,60.6,412.0,1,Paid,0,1,No
0,16,61.7,62.2,67.1,588.3,1,Not Applicable,1,0,No
0,6,49.2,41.7,42.8,1163.9,1,Paid,0,1,Yes
1,13,83.9,59.3,64.6,558.8,0,Partial,0,1,No
1,16,77.9,73.9,80.6,3121.4,1,Partial,0,1,No
1,12,86.0,83.5,70.5,2690.5,1,Not Applicable,0,0,No
1,6,63.5,57.7,59.8,2611.7,0,Paid,0,1,Yes
1,15,58.5,58.7,64.8,2366.9,0,Not Applicable,0,0,Yes
0,17,100.0,84.3,89.6,2927.4,1,Not Applicable,1,0,No
0,10,79.3,62.8,63.3,846.2,1,Not Applicable,1,0,No
1,12,84.9,63.0,82.6,2500.7,1,Partial,0,1,No
0,7,52.1,46.2,52.8,6832.8,0,Paid,0,1,Yes
0,14,51.8,36.2,35.7,728.1,1,Not Applicable,1,0,Yes
0,9,74.6,84.7,73.9,4276.8,0,Not Applicable,0,0,Yes
0,8,70.6,68.7,80.5,1484.0,1,Not Applicable,1,0,No
1,7,94.4,82.4,92.3,2587.0,1,Not Applicable,0,0,No
1,13,49.9,36.0,37.8,4297.6,0,Paid,1,1,No
1,12,63.2,55.4,45.1,935.3,1,Paid,0,1,No
0,6,79.6,77.5,75.8,1024.7,1,Paid,1,1,No
0,10,58.0,61.0,53.4,2111.2,0,Paid,0,1,Yes
0,15,70.8,51.5,61.2,4685.8,1,Not Applicable,0,0,No
0,13,83.4,69.4,83.2,2668.4,0,Not Applicable,0,0,No
1,7,100.0,89.1,86.5,117.6,1,Paid,0,1,No
1,13,74.5,60.2,73.6,2304.3,0,Not Applicable,0,0,No
1,12,71.5,63.6,69.4,6403.6,1,Paid,1,1,No
0,10,90.5,87.7,79.8,1948.8,1,Paid,1,1,No
1,9,94.3,82.2,86.4,1648.6,1,Paid,0,1,No
1,10,86.2,73.2,90.1,545.2,0,Not Applicable,0,0,No
1,16,79.3,83.9,74.9,870.7,0,Not Applicable,0,0,No
1,15,56.3,55.8,44.9,1574.7,1,Not Applicable,0,0,Yes
0,12,87.9,69.7,83.2,3429.4,1,Paid,0,1,No
0,7,63.1,50.9,60.1,2908.0,0,Paid,0,1,Yes
0,16,56.6,42.6,46.0,2123.5,0,Partial,0,1,Yes
1,13,87.1,58.2,71.5,2433.7,1,Not Applicable,0,0,No
0,9,50.3,49.5,54.2,3733.1,0,Not Applicable,0,0,Yes
0,15,99.3,72.3,82.1,8721.7,1,Paid,0,1,No
0,9,90.3,88.3,84.8,109.4,1,Not Applicable,1,0,No
0,13,53.8,59.7,57.4,1089.9,1,Not Applicable,0,0,Yes
1,10,97.0,85.9,90.2,211.7,1,Unpaid,0,1,No
1,11,72.7,78.1,80.9,6636.0,0,Paid,0,1,No
0,6,61.9,47.2,48.5,310.5,1,Not Applicable,0,0,No
0,6,100.0,91.7,90.6,388.9,1,Paid,0,1,No
0,10,85.1,69.6,79.1,2248.3,0,Unpaid,0,1,No
0,8,83.8,78.3,77.1,806.3,1,Unpaid,0,1,No
0,5,64.2,54.1,53.9,1870.9,1,Partial,0,1,Yes
0,14,69.9,52.2,47.2,406.6,1,Not Applicable,1,0,No
0,9,76.9,73.7,78.8,4059.7,1,Paid,0,1,No
1,16,70.5,62.5,54.2,6565.7,1,Paid,0,1,No
1,6,91.2,65.6,85.0,135.7,1,Partial,0,1,No
0,15,81.2,72.0,82.5,495.3,1,Partial,0,1,No
0,13,59.5,39.1,52.8,2489.7,1,Partial,0,1,No
1,13,93.4,97.5,90.9,1875.1,1,Not Applicable,0,0,No
0,14,80.3,67.7,80.1,2009.8,1,Not Applicable,0,0,Yes
1,12,76.4,55.4,70.7,1852.0,0,Paid,0,1,No
1,12,79.9,63.5,64.2,167.8,0,Not Applicable,0,0,No
0,8,70.2,70.0,53.0,4318.3,1,Paid,0,1,No
0,15,78.4,72.2,73.2,2953.2,1,Paid,0,1,No
1,11,71.4,66.8,81.4,4537.7,1,Not Applicable,1,0,No
0,10,72.6,58.8,64.2,3609.8,1,Partial,0,1,No
1,10,97.5,70.5,78.3,980.3,1,Not Applicable,0,0,No
1,14,67.4,46.7,53.7,430.8,1,Not Applicable,0,0,No
1,9,45.0,42.3,32.6,5286.7,0,Partial,0,1,Yes
0,12,100.0,70.9,84.4,5584.8,0,Not Applicable,0,0,Yes
1,8,75.4,70.4,66.0,1458.0,1,Not Applicable,1,0,No
0,8,71.5,52.9,63.8,1679.1,1,Not Applicable,0,0,No
1,16,78.9,68.5,75.7,1370.1,1,Not Applicable,0,0,No
1,12,79.2,60.6,78.3,3204.4,1,Not Applicable,0,0,No
0,18,97.9,78.1,78.0,2303.6,1,Not Applicable,1,0,No
1,8,89.2,61.5,73.3,1745.6,1,Not Applicable,1,0,No
1,16,65.9,61.5,55.5,864.8,1,Not Applicable,1,0,No
0,17,89.1,76.2,82.5,4516.4,1,Not Applicable,0,0,No
0,12,82.2,77.0,80.2,151.6,1,Not Applicable,0,0,No
0,11,66.9,54.3,51.1,4169.9,1,Paid,0,1,No
0,7,56.6,47.5,47.2,3196.6,0,Not Applicable,0,0,No
0,16,83.8,85.2,87.0,686.7,1,Paid,0,1,No
1,15,100.0,83.3,97.7,708.6,1,Not Applicable,1,0,No
0,17,82.3,80.3,94.4,327.7,1,Paid,1,1,No
0,9,51.7,39.7,37.6,2729.8,0,Paid,0,1,Yes
1,7,57.4,59.6,49.0,1051.9,1,Unpaid,0,1,No
0,15,69.3,65.6,76.3,3585.7,1,Not Applicable,0,0,No
1,11,70.6,38.3,47.7,906.1,1,Not Applicable,0,0,No
0,16,83.4,77.3,76.9,816.7,1,Not Applicable,0,0,No
0,8,66.8,51.5,56.9,3946.3,0,Paid,1,1,Yes
1,17,84.2,75.2,62.4,3236.3,1,Paid,0,1,No
1,14,71.8,55.3,62.4,1458.3,1,Not Applicable,0,0,No
1,10,85.2,73.4,74.7,2254.2,0,Not Applicable,0,0,Yes
1,12,75.6,66.7,62.9,351.5,0,Not Applicable,0,0,No
1,12,57.6,46.6,65.7,946.0,1,Not Applicable,1,0,No
0,13,54.8,45.6,45.7,329.0,1,Paid,0,1,No
0,16,91.5,70.0,65.8,1120.5,1,Not Applicable,0,0,No
1,17,75.1,57.9,65.8,160.0,1,Not Applicable,0,0,No
1,8,88.7,74.4,68.5,1647.8,1,Not Applicable,0,0,No
1,14,96.3,80.9,83.6,279.4,1,Paid,0,1,No
0,11,71.9,80.4,68.6,6434.3,0,Not Applicable,0,0,No
0,15,80.0,70.3,63.1,1449.3,1,Not Applicable,1,0,No
1,11,58.4,54.1,53.2,6801.5,1,Not Applicable,0,0,No
0,15,62.3,62.7,61.6,5246.6,1,Paid,0,1,Yes
1,6,85.9,77.8,76.7,1313.2,1,Not Applicable,0,0,No
1,8,74.3,56.0,65.4,192.2,0,Paid,0,1,Yes
0,11,66.0,66.5,69.7,427.1,0,Not Applicable,0,0,No
